country,paid_maternity_length_weeks,paid_maternity_avg_pay_rate,paid_maternity_full_equiv_weeks,paid_parental_length_weeks,paid_parental_avg_pay_rate,paid_parental_full_equiv_weeks,total_paid_length_weeks,total_paid_avg_pay_rate,total_paid_full_equiv_weeks
Australia,6.0,42.0,2.5,12.0,42.0,5.0,18.0,42.0,7.6
Austria,16.0,100.0,16.0,44.0,80.0,35.2,60.0,85.3,51.2
Belgium,15.0,76.6,11.5,17.3,20.3,3.5,32.3,46.4,15.0
Canada,17.0,48.3,8.2,35.0,54.7,19.1,52.0,52.6,27.3
Chile,18.0,100.0,18.0,12.0,100.0,12.0,30.0,100.0,30.0
Czech Republic,28.0,70.0,19.6,82.0,44.7,36.7,110.0,51.1,56.3
Denmark,18.0,54.1,9.7,32.0,54.1,17.3,50.0,54.1,27.0
Estonia,20.0,100.0,20.0,146.0,44.6,65.1,166.0,51.3,85.1
Finland,17.5,78.5,13.7,143.5,20.1,28.9,161.0,26.5,42.6
France,16.0,93.5,15.0,26.0,14.6,3.8,42.0,44.7,18.8
Germany,14.0,100.0,14.0,44.0,65.0,28.6,58.0,73.4,42.6
Greece,43.0,53.9,23.2,0.0,0.0,0.0,43.0,53.9,23.2
Hungary,24.0,70.0,16.8,136.0,40.0,54.3,160.0,44.5,71.1
Iceland,13.0,63.8,8.3,13.0,63.8,8.3,26.0,63.8,16.6
Ireland,26.0,35.0,9.1,0.0,0.0,0.0,26.0,35.0,9.1
Israel,14.0,100.0,14.0,0.0,0.0,0.0,14.0,100.0,14.0
Italy,21.7,80.0,17.4,26.0,30.0,7.8,47.7,52.7,25.2
Japan,14.0,67.0,9.4,44.0,59.9,26.4,58.0,61.6,35.8
Korea,12.9,79.7,10.2,52.0,29.0,15.1,64.9,39.0,25.3
Luxembourg,16.0,100.0,16.0,26.0,38.8,10.1,42.0,62.1,26.1
Mexico,12.0,100.0,12.0,0.0,0.0,0.0,12.0,100.0,12.0
Netherlands,16.0,100.0,16.0,0.0,0.0,0.0,16.0,100.0,16.0
New Zealand,16.0,47.9,7.7,0.0,0.0,0.0,16.0,47.9,7.7
Norway,13.0,98.7,12.8,78.0,41.8,32.6,91.0,50.0,45.5
Poland,26.0,100.0,26.0,26.0,60.0,15.6,52.0,80.0,41.6
Portugal,6.0,100.0,6.0,24.2,57.6,14.0,30.2,66.1,20.0
Slovak Republic,34.0,65.0,22.1,130.0,23.4,30.4,164.0,32.0,52.5
Slovenia,15.0,100.0,15.0,37.1,90.0,33.4,52.1,92.9,48.4
Spain,16.0,100.0,16.0,0.0,0.0,0.0,16.0,100.0,16.0
Sweden,8.6,77.6,6.7,51.4,61.1,31.4,60.0,63.4,38.1
Switzerland,14.0,56.8,7.9,0.0,0.0,0.0,14.0,56.8,7.9
Turkey,16.0,66.0,10.6,0.0,0.0,0.0,16.0,66.0,10.6
United Kingdom,39.0,31.3,12.2,0.0,0.0,0.0,39.0,31.3,12.2
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
